school,city,county,SchoolCode,SchoolName
FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,1233402,Fortuna Union High
MCKINLEYVILLE HIGH SCHOOL,Mckinleyville,Humboldt,1235209,McKinleyville High
NORTHCOAST PREPARATORY ACADEMY,Arcata,Humboldt,0134163,Northcoast Preparatory and Performing Arts Academy
SOUTH FORK HIGH SCHOOL,Miranda,Humboldt,1237007,South Fork High
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,1331404,Brawley Union High
CALEXICO HIGH SCHOOL,Calexico,Imperial,1332204,Calexico High
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,1332501,Calipatria High
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,1333004,Central Union High
HOLTVILLE HIGH SCHOOL,Holtville,Imperial,1335306,Holtville High
IMPERIAL HIGH SCHOOL,Imperial,Imperial,1335900,Imperial High
SOUTHWEST HIGH SCHOOL,El Centro,Imperial,1330133,Southwest High
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,1431600,Bishop Union High
ARVIN HIGH SCHOOL,Arvin,Kern,1530252,Arvin High
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,1530708,Bakersfield High
BLUE RIDGE ACADEMY,Maricopa,Kern,0134312,Blue Ridge Academy
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,0114512,California City High
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,1530369,Centennial High
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,0100529,Cesar E. Chavez High
DEL ORO HIGH SCHOOL,Bakersfield,Kern,NA,NA
DELANO HIGH SCHOOL,Delano,Kern,1531672,Delano High
DESERT HIGH SCHOOL,Edwards,Kern,1531987,Desert Junior-Senior High
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,1532290,East Bakersfield High
FOOTHILL HIGH SCHOOL,Bakersfield,Kern,1532605,Foothill High
FRONTIER HIGH SCHOOL,Bakersfield,Kern,0110999,Frontier High
GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,0100198,Golden Valley High
HIGHLAND HIGH SCHOOL,Bakersfield,Kern,1533330,Highland High
INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern,0116392,Independence High
LIBERTY HIGH SCHOOL,Bakersfield,Kern,1530476,Liberty High
MCFARLAND HIGH SCHOOL,Mcfarland,Kern,1530229,McFarland Independent
MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,0116400,Mira Monte High
NORTH HIGH SCHOOL,Bakersfield,Kern,1534775,North High
RIDGEVIEW HIGH SCHOOL,Bakersfield,Kern,1530385,Ridgeview High
ROBERT F KENNEDY HIGH SCHOOL,Delano,Kern,0116384,Robert F. Kennedy High
ROSAMOND HIGH SCHOOL,Rosamond,Kern,1534957,Rosamond High Early College Campus
SHAFTER HIGH SCHOOL,Shafter,Kern,1535087,Shafter High
SHERMAN E BURROUGHS HS,Ridgecrest,Kern,1531367,Burroughs High
SOUTH HIGH SCHOOL,Bakersfield,Kern,1535392,South High
STOCKDALE HIGH SCHOOL,Bakersfield,Kern,1530344,Stockdale High
