school,city,county,SchoolCode,SchoolName
SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,2837102,Saint Helena High
VINTAGE HIGH SCHOOL,Napa,Napa,2830016,Vintage High
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,2930048,Bear River High
GHIDOTTI EARLY COLLEGE HIGH SCHOOL,Grass Valley,Nevada,0112367,William & Marian Ghidotti High
NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada,2935500,Nevada Union High
SIERRA ACADEMY EXPEDITION LRNG,Nevada City,Nevada,0124834,Sierra Academy of Expeditionary Learning
ADVANCED LEARNING ACADEMY,Santa Ana,Orange,0135897,Advanced Learning Academy
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,3030574,Aliso Niguel High
ANAHEIM HIGH SCHOOL,Anaheim,Orange,3030228,Anaheim High
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,0102871,Arnold O. Beckman High
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,3030434,Bolsa Grande High
BREA OLINDA HIGH SCHOOL,Brea,Orange,3030640,Brea Olinda High
BUENA PARK HIGH SCHOOL,Buena Park,Orange,3030855,Buena Park High
CA ONLINE PUBLIC SCHOOLS SOUTHRN CA,San Juan Capistrano,Orange,NA,NA
CANYON HIGH SCHOOL,Anaheim,Orange,3030046,Canyon High
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,3030210,Capistrano Valley High
CENTURY HIGH SCHOOL,Santa Ana,Orange,3030491,Century High
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,3031697,Corona del Mar High
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,3031853,Costa Mesa High
CYPRESS HIGH SCHOOL,Cypress,Orange,3030038,Cypress High
DANA HILLS HIGH SCHOOL,Dana Point,Orange,3038569,Dana Hills High
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,0111666,Early College High
EDISON HIGH SCHOOL,Huntington Beach,Orange,3031895,Edison High
EL DORADO HIGH SCHOOL,Placentia,Orange,3031929,El Dorado High
EL MODENA HIGH SCHOOL,Orange,Orange,3031952,El Modena High
EL TORO HIGH SCHOOL,Lake Forest,Orange,3030061,El Toro High
ESPERANZA HIGH SCHOOL,Anaheim,Orange,3030053,Esperanza High
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,3032000,Estancia High
EXCEL ACADEMY CHARTER SCH-HELENDALE,Irvine,Orange,NA,NA
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,3032109,Foothill High
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,3032158,Fountain Valley High
FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,3032505,Fullerton Union High
GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,3032752,Garden Grove High
HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange,0114736,Hector G. Godinez
HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,3032943,Huntington Beach High
IRVINE HIGH SCHOOL,Irvine,Orange,3030152,Irvine High
JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,3033115,John F. Kennedy High
KATELLA HIGH SCHOOL,Anaheim,Orange,3033057,Katella High
LA HABRA HIGH SCHOOL,La Habra,Orange,3033362,La Habra High
LA QUINTA HIGH SCHOOL,Westminster,Orange,3033578,La Quinta High
LAGUNA BEACH HIGH SCHOOL,Laguna Beach,Orange,3033206,Laguna Beach High
LAGUNA HILLS HIGH SCHOOL,Laguna Hills,Orange,3030244,Laguna Hills High
LEGACY COLLEGE PREPARATORY,Santa Ana,Orange,0139774,Legacy Magnet Academy
LEGACY MAGNET ACADEMY,Tustin,Orange,0139774,Legacy Magnet Academy
LOARA HIGH SCHOOL,Anaheim,Orange,3033784,Loara High
LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange,3033917,Los Alamitos High
LOS AMIGOS HIGH SCHOOL,Fountain Valley,Orange,3033933,Los Amigos High
MAGNOLIA HIGH SCHOOL,Anaheim,Orange,3034204,Magnolia High
MAGNOLIA SCIENCE ACADEMY-SANTA ANA,Santa Ana,Orange,0130765,Magnolia Science Academy Santa Ana
MARINA HIGH SCHOOL,Huntington Beach,Orange,3034410,Marina High
MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange,3030608,Middle College High
MISSION VIEJO HIGH SCHOOL,Mission Viejo,Orange,3034956,Mission Viejo High
NEWPORT HARBOR HIGH SCHOOL,Newport Beach,Orange,3035045,Newport Harbor High
NORTHWOOD HIGH SCHOOL,Irvine,Orange,3030657,Northwood High
NOVA ACADEMY EARLY COLLEGE HS,Santa Ana,Orange,0106567,Nova Academy Early College High
OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange,3030145,Ocean View High
ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,3030723,OCSA
ORANGE HIGH SCHOOL,Orange,Orange,3035409,Orange High
OXFORD ACADEMY,Cypress,Orange,3030616,Oxford Academy
PACIFICA HIGH SCHOOL,Garden Grove,Orange,3035581,Pacifica High
PORTOLA HIGH SCHOOL,Irvine,Orange,0133405,Portola High
RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,3035706,Rancho Alamitos High
SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,3035821,Saddleback High
SAMUELI ACADEMY,Santa Ana,Orange,0126037,Samueli Academy
SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,3036001,San Clemente High
SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,0113381,San Juan Hills High
SANTA ANA HIGH SCHOOL,Santa Ana,Orange,3036357,Santa Ana High
SANTIAGO HIGH SCHOOL,Garden Grove,Orange,3036555,Santiago High
SAVANNA HIGH SCHOOL,Anaheim,Orange,3036712,Savanna High
SEGERSTROM HIGH SCHOOL,Santa Ana,Orange,0108365,Segerstrom High
SONORA HIGH SCHOOL,La Habra,Orange,3037090,Sonora High
SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,3037348,Sunny Hills High
TESORO HIGH SCHOOL,Rancho San Margarit,Orange,3030756,Tesoro High
TRABUCO HILLS HIGH SCHOOL,Mission Viejo,Orange,3030392,Trabuco Hills High
TROY HIGH SCHOOL,Fullerton,Orange,3037496,Troy High
TUSTIN CONNECT,Tustin,Orange,3030590,Tustin Connect
TUSTIN HIGH SCHOOL,Tustin,Orange,3037553,Tustin High
UNIVERSITY HIGH SCHOOL,Irvine,Orange,3035102,University High
VALENCIA HIGH SCHOOL,Placentia,Orange,3038023,Valencia High
VALLEY HIGH SCHOOL,Santa Ana,Orange,3036456,Valley High
VILLA PARK HIGH SCHOOL,Villa Park,Orange,3038098,Villa Park High
WESTERN HIGH SCHOOL,Anaheim,Orange,3038239,Western High
WESTMINSTER HIGH SCHOOL,Westminster,Orange,3038445,Westminster High
WOODBRIDGE HIGH SCHOOL,Irvine,Orange,3030285,Woodbridge High
YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange,0119404,Yorba Linda High
COLFAX HIGH SCHOOL,Colfax,Placer,3131851,Colfax High
DEL ORO HIGH SCHOOL,Loomis,Placer,3132453,Del Oro High
GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,3130184,Granite Bay High
INDEPENDENCE HIGH SCHOOL,Roseville,Placer,3130119,Independence High (Alternative)
LINCOLN HIGH SCHOOL,Lincoln,Placer,3134657,Lincoln High
NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer,3130010,North Tahoe High
OAKMONT HIGH SCHOOL,Roseville,Placer,3135308,Oakmont High
PLACER HIGH SCHOOL,Auburn,Placer,3135704,Placer High
ROCKLIN HIGH SCHOOL,Rocklin,Placer,3130150,Rocklin High
ROSEVILLE HIGH SCHOOL,Roseville,Placer,3136504,Roseville High
TRUCKEE HIGH SCHOOL,Truckee,Placer,3138500,Tahoe Truckee High
TWELVE BRIDGES HIGH SCHOOL,Lincoln,Placer,0140541,Twelve Bridges High
WEST PARK HIGH SCHOOL,Roseville,Placer,0139840,West Park High
WESTERN SIERRA COLLEGIATE ACAD,Rocklin,Placer,0119487,Western Sierra Collegiate Academy
WHITNEY HIGH SCHOOL,Rocklin,Placer,0108084,Whitney High
WOODCREEK HIGH SCHOOL,Roseville,Placer,3130176,Woodcreek High
PORTOLA JUNIOR SENIOR HIGH SCHOOL,Portola,Plumas,3235603,Portola Junior/Senior High
QUINCY JUNIOR SENIOR HIGH SCHOOL,Quincy,Plumas,3236007,Quincy Junior/Senior High
ARLINGTON HIGH SCHOOL,Riverside,Riverside,3330024,Arlington High
BANNING HIGH SCHOOL,Banning,Riverside,3330214,Banning High
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,3330479,Beaumont Senior High
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,0101170,California Military Institute
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,3330396,Canyon Springs High
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,3330578,Cathedral City High
CENTENNIAL HIGH SCHOOL,Corona,Riverside,3330446,Centennial High
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,3330743,Chaparral High
CITRUS HILL HIGH SCHOOL,Perris,Riverside,0109108,Citrus Hill High
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,3330990,Coachella Valley High
CORONA HIGH SCHOOL,Corona,Riverside,3331600,Corona High
DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside,3330818,Desert Hot Springs High
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,0100255,Desert Mirage High
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,0110627,Eleanor Roosevelt High
ELSINORE HIGH SCHOOL,Wildomar,Riverside,3332350,Elsinore High
GREAT OAK HIGH SCHOOL,Temecula,Riverside,0105734,Great Oak High
HEMET HIGH SCHOOL,Hemet,Riverside,3332673,Hemet High
HERITAGE HIGH SCHOOL,Menifee,Riverside,0113191,Heritage High
HILLCREST HIGH SCHOOL,Riverside,Riverside,0125732,Hillcrest High
INDIO HIGH SCHOOL,Indio,Riverside,3333192,Indio High
JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,0110759,John F. Kennedy High
JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,3334406,John W. North High
JURUPA VALLEY HIGH SCHOOL,Jurupa Valley,Riverside,3330412,Jurupa Valley High
LA QUINTA HIGH SCHOOL,La Quinta,Riverside,3330669,La Quinta High
LA SIERRA HIGH SCHOOL,Riverside,Riverside,3330008,La Sierra High
LAKESIDE HIGH SCHOOL,Lake Elsinore,Riverside,0107920,Lakeside High
LIBERTY HIGH SCHOOL,Winchester,Riverside,0140491,Liberty High
MARTIN LUTHER KING HIGH SCHOOL,Riverside,Riverside,3330859,Martin Luther King Jr. High
MISSION VISTA ACADEMY,Corona,Riverside,0139360,Mission Vista Academy
MORENO VALLEY HIGH SCHOOL,Moreno Valley,Riverside,3333770,Moreno Valley High
MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside,0118794,Murrieta Mesa High
MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,3330529,Murrieta Valley High
NORCO HIGH SCHOOL,Norco,Riverside,3334232,Norco High
NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside,3334299,Norte Vista High
NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside,3331014,Nuview Bridge Early College High
ORANGE VISTA HIGH SCHOOL,Perris,Riverside,0133306,Orange Vista High
PALM DESERT HIGH SCHOOL,Palm Desert,Riverside,3330388,Palm Desert High
PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside,3335130,Palm Springs High
PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside,3330727,Paloma Valley High
PATRIOT HIGH SCHOOL,Jurupa Valley,Riverside,0114157,Patriot High
PERRIS HIGH SCHOOL,Perris,Riverside,3335973,Perris High
RAMONA HIGH SCHOOL,Riverside,Riverside,3336492,Ramona High
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,0127316,Rancho Mirage High
RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside,3330552,Rancho Verde High
RIVER SPRINGS CHARTER SCHOOL,Temecula,Riverside,0110833,River Springs Charter
RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside,NA,NA
RIVERSIDE STEM ACADEMY,Riverside,Riverside,0131359,Riverside STEM Academy
RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,3337136,Rubidoux High
SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,3337656,San Jacinto High
SAN JACINTO LEADERSHIP ACADEMY,San Jacinto,Riverside,3337656,San Jacinto High
SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,6114748,San Jacinto Valley Academy
SANTA ROSA ACADEMY,Menifee,Riverside,0109843,Santa Rosa Academy
SANTIAGO HIGH SCHOOL,Corona,Riverside,3330701,Santiago High
SHADOW HILLS HIGH SCHOOL,Indio,Riverside,0118885,Shadow Hills High
TAHQUITZ HIGH SCHOOL,Hemet,Riverside,0113159,Tahquitz High
TEMECULA PREPARATORY SCHOOL,Winchester,Riverside,3330917,Temecula Preparatory
TEMECULA VALLEY HIGH SCHOOL,Temecula,Riverside,3330370,Temecula Valley High
TEMESCAL CANYON HIGH SCHOOL,Lake Elsinore,Riverside,3330487,Temescal Canyon High
VALLEY VIEW HIGH SCHOOL,Moreno Valley,Riverside,3330438,Valley View High
VISTA DEL LAGO HIGH SCHOOL,Moreno Valley,Riverside,3331071,Vista del Lago High
VISTA MURRIETA HIGH SCHOOL,Murrieta,Riverside,0100420,Vista Murrieta High
WEST SHORES HIGH SCHOOL,Thermal,Riverside,3330354,West Shores High
WEST VALLEY HIGH SCHOOL,Hemet,Riverside,3330537,West Valley High
WESTERN CENTER ACADEMY,Hemet,Riverside,0120675,Western Center Academy
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,NA,NA
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,0121467,Aspire Alexander Twilight Secondary Academy
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,3430493,Bella Vista High
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,3435419,C. K. McClatchy High
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,3431111,Casa Roble Fundamental High
CENTER HIGH SCHOOL,Antelope,Sacramento,3430378,Center High
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,3431533,Cordova High
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,0116897,Cosumnes Oaks High
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,0108795,Creative Connections Arts Academy
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,3432051,Del Campo High
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,3432317,El Camino Fundamental High
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,3432572,Elk Grove High
ENCINA HIGH SCHOOL,Sacramento,Sacramento,3432838,Encina Preparatory High
FLORIN HIGH SCHOOL,Sacramento,Sacramento,3430477,Florin High
FOLSOM HIGH SCHOOL,Folsom,Sacramento,3433216,Folsom High
FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,3433265,Foothill High
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,3430873,Franklin High
FUTURES HIGH SCHOOL,Sacramento,Sacramento,0101832,Futures High
GALT HIGH SCHOOL,Galt,Sacramento,3433471,Galt High
GRANT UNION HIGH SCHOOL,Sacramento,Sacramento,3433794,Grant Union High
HEALTH PROFESSIONS HIGH SCH,Sacramento,Sacramento,0108951,Arthur A. Benjamin Health Professions High
HERITAGE PEAK CHARTER SCHOOL,Rio Linda,Sacramento,0108415,Heritage Peak Charter
HIGHLANDS HIGH SCHOOL,North Highlands,Sacramento,3434370,Highlands High
HIRAM W JOHNSON HIGH SCHOOL,Sacramento,Sacramento,3434636,Hiram W. Johnson High
INDERKUM HIGH SCHOOL,Sacramento,Sacramento,0102236,Inderkum High
JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,3434768,John F. Kennedy High
LAGUNA CREEK HIGH SCHOOL,Elk Grove,Sacramento,3430592,Laguna Creek High
LEROY GREENE ACADEMY,Sacramento,Sacramento,0126060,Leroy Greene Academy
LIBERTY RANCH HIGH SCHOOL,Galt,Sacramento,0119131,Liberty Ranch High
LUTHER BURBANK HIGH SCHOOL,Sacramento,Sacramento,3431012,Luther Burbank High
MESA VERDE HIGH SCHOOL,Citrus Heights,Sacramento,3430048,Mesa Verde High
MET SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,0101907,The MET
MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento,3435930,Mira Loma High
MONTEREY TRAIL HIGH SCHOOL,Elk Grove,Sacramento,0105916,Monterey Trail High
NATOMAS CHARTER SCHOOL,Sacramento,Sacramento,3430659,Natomas Charter
NATOMAS HIGH SCHOOL,Sacramento,Sacramento,3430659,Natomas Charter
NATOMAS PACIFIC PATHWAYS PREP,Sacramento,Sacramento,0112425,Natomas Pacific Pathways Prep
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,0108753,Pleasant Grove High
REX & MARGARET FORTUNE ECHS,Elk Grove,Sacramento,0136275,Fortune
RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento,3436714,Rio Americano High
RIO LINDA SENIOR HIGH SCHOOL,Rio Linda,Sacramento,3436979,Rio Linda High
ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,0101972,Rosemont High
SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,0102038,Sacramento Charter High
SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,3438504,San Juan High
SCHOOL OF ENGINEERING & SCIENCES,Sacramento,Sacramento,0114546,School of Engineering & Sciences
SHELDON HIGH SCHOOL,Sacramento,Sacramento,3430618,Sheldon High
UMOJA INTERNATIONAL ACADEMY,Sacramento,Sacramento,6061832,Umoja International Academy
VALLEY HIGH SCHOOL,Sacramento,Sacramento,3430170,Valley High
VISIONS IN EDUCATION,Carmichael,Sacramento,3430717,Visions In Education
VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento,0113571,Vista del Lago High
WEST CAMPUS HIGH SCHOOL,Sacramento,Sacramento,3430865,West Campus
WESTLAKE CHARTER HIGH SCHOOL,Sacramento,Sacramento,NA,NA
HOLLISTER HIGH SCHOOL,Hollister,San Benito,3537008,Hollister High
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,3630555,Fontana A. B. Miller High
ACADEMY FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,3631207,Academy for Academic Excellence
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,0125419,Adelanto High
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,3630225,Alta Loma High
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,3630423,Apple Valley High
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,3631082,Arroyo Valley High
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,3631066,Big Bear High
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,3631322,Bloomington High
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,3632221,Cajon High
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,0126243,Chaffey District Online High
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,3632205,Chaffey High
CHINO HIGH SCHOOL,Chino,San Bernardino,3632502,Chino High
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,3631017,Chino Hills High
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,0118802,Citrus Valley High
COBALT INSTITUTE OF MATH & SCIENCE,Victorville,San Bernardino,6114698,Cobalt Institute of Math and Science Academy
COLONY HIGH SCHOOL,Ontario,San Bernardino,3631157,Colony High
COLTON HIGH SCHOOL,Colton,San Bernardino,3632742,Colton High
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,3630035,Don Antonio Lugo High
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,3633005,Eisenhower High
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,3630373,Etiwanda High
EXCELSIOR CHARTER SCHL VICTORVILLE,Victorville,San Bernardino,3630761,Excelsior Charter
FONTANA HIGH SCHOOL,Fontana,San Bernardino,3633302,Fontana High
GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino,0125500,Grand Terrace High School at the Ray Abril Jr. Educational Complex
GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,3630894,Granite Hills High
GROVE HIGH SCHOOL,Redlands,San Bernardino,3630928,Grove
HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino,3630902,Henry J. Kaiser High
HESPERIA HIGH SCHOOL,Hesperia,San Bernardino,3630407,Hesperia High
INDIAN SPRINGS HIGH SCHOOL,San Bernardino,San Bernardino,0125450,Indian Springs High
JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,0120758,Jurupa Hills High
LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino,3631058,Los Osos High
MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino,3631090,Middle College High
MONTCLAIR HIGH SCHOOL,Montclair,San Bernardino,3633906,Montclair High
NORTON SCIENCE & LANGUAGE ACADEMY,San Bernardino,San Bernardino,NA,NA
OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,0119115,Oak Hills High
ONTARIO HIGH SCHOOL,Ontario,San Bernardino,3634482,Ontario High
OPTIONS FOR YOUTH - ACTON-FONTANA 2,Fontana,San Bernardino,NA,NA
PACIFIC HIGH SCHOOL,San Bernardino,San Bernardino,3634680,Pacific High
RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,3630571,Rancho Cucamonga High
REDLANDS EAST VALLEY HS,Redlands,San Bernardino,3630779,Redlands East Valley High
REDLANDS HIGH SCHOOL,Redlands,San Bernardino,3635042,Redlands Senior High
RIALTO HIGH SCHOOL,Rialto,San Bernardino,3630597,Rialto High
RIM OF THE WORLD HIGH SCHOOL,Lake Arrowhead,San Bernardino,3635265,Rim of the World Senior High
RIVERSIDE PREPARATORY,Oro Grande,San Bernardino,0113928,Riverside Preparatory
RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,3630522,Ruben S. Ayala High
SAGE OAK CHARTER,Redlands,San Bernardino,0136069,Sage Oak Charter
SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,3635844,San Bernardino High
SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,3636081,San Gorgonio High
SERRANO HIGH SCHOOL,Phelan,San Bernardino,3630233,Serrano High
SILVERADO HIGH SCHOOL,Victorville,San Bernardino,3630787,Silverado High
SULTANA HIGH SCHOOL,Hesperia,San Bernardino,3630746,Sultana High
SUMMIT HIGH SCHOOL,Fontana,San Bernardino,0108191,Summit High
TWENTYNINE PALMS HIGH SCHOOL,Twentynine Palms,San Bernardino,3636743,Twentynine Palms High
UNIVERSITY PREPARATORY,Victorville,San Bernardino,0110064,University Preparatory
UPLAND HIGH SCHOOL,Upland,San Bernardino,3637584,Upland High
VICTOR VALLEY HIGH SCHOOL,Victorville,San Bernardino,3638012,Victor Valley High
WILMER AMINA CARTER HS,Rialto,San Bernardino,0102830,Wilmer Amina Carter High
YUCAIPA SENIOR HIGH SCHOOL,Yucaipa,San Bernardino,3638509,Yucaipa High
ALTUS CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,0107219,San Diego High
AUDEO CHARTER SCHOOL I,San Diego,San Diego,3731395,Audeo Charter
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,NA,NA
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,3730405,Bonita Vista Senior High
BONSALL HIGH SCHOOL,Bonsall,San Diego,0129320,Bonsall High
BOSTONIA GLOBAL,El Cajon,San Diego,0140558,Bostonia Global
CABRILLO POINT ACADEMY,El Cajon,San Diego,0132506,Cabrillo Point Academy
CANYON CREST ACADEMY,San Diego,San Diego,0106328,Canyon Crest Academy
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,3730173,Canyon Hills High
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,3730694,Carlsbad High
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,3730801,Castle Park Senior High
CHULA VISTA HIGH SCHOOL,Chula Vista,San Diego,3731064,Chula Vista Senior High
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,6115778,Chula Vista Learning Community Charter
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,3731213,Clairemont High
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,0111195,Classical Academy High
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,0136267,Coastal Academy Charter
CORONADO HIGH SCHOOL,Coronado,San Diego,3731478,Coronado High
CRAWFORD HIGH SCHOOL,San Diego,San Diego,0107177,Crawford High
DEL LAGO ACADEMY,Escondido,San Diego,0127241,Del Lago Academy - Campus of Applied Science
DEL NORTE HIGH SCHOOL,San Diego,San Diego,0118935,Del Norte High
E3 CIVIC HIGH,San Diego,San Diego,0127647,e3 Civic High
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,0118315,East Village Middle College High
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,3730843,Eastlake High
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,3731692,El Cajon Valley High
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,3739018,El Camino High
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,3731809,El Capitan High
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,3732062,Escondido High
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,3732062,Escondido High
FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,3732179,Fallbrook High
GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,0119610,Gompers Preparatory Academy
GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,3732336,Granite Hills High
GROSSMONT HIGH SCHOOL,El Cajon,San Diego,3732625,Grossmont High
GUAJOME PARK ACADEMY,Vista,San Diego,3730942,Guajome Park Academy Charter
HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,0114462,Health Sciences High and Middle College
HELIX HIGH SCHOOL,La Mesa,San Diego,3732732,Helix High
HIGH TECH HIGH - NORTH COUNTY,San Marcos,San Diego,0114694,High Tech High North County
HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,3731064,Chula Vista Senior High
HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego,3731247,High Tech High
HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,0108787,High Tech High Media Arts
HIGH TECH HIGH MESA,San Diego,San Diego,0137067,High Tech High Mesa
HIGH TECH HIGH SCHOOL,San Diego,San Diego,3731247,High Tech High
HILLTOP HIGH SCHOOL,Chula Vista,San Diego,3732849,Hilltop Senior High
HOOVER HIGH SCHOOL,San Diego,San Diego,3732997,Hoover High
KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,0107094,Kearny College Connections
KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,0107078,Kearny Digital Media & Design
KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,0107086,Kearny School of Biomedical Science and Technology
LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,3731007,La Costa Canyon High
LA JOLLA HIGH,La Jolla,San Diego,3733508,La Jolla High
LINCOLN HIGH SCHOOL,San Diego,San Diego,0114025,Lincoln High
MADISON HIGH SCHOOL,San Diego,San Diego,3733698,Madison High
